time,point
1577167930.1659765, [16,  310,  0] 
1577167930.1992729, [49,  318,  0] 
1577167930.2309878, [243,  377,  0] 
1577167930.2988682, [28,  102,  0] 
1577167930.330768, [78,  334,  0] 
1577167930.3621724, [49,  129,  0] 
1577167930.434474, [120,  131,  0] 
1577167930.4636989, [86,  118,  0] 
1577167930.4943082, [160,  152,  0] 
1577167930.563159, [8,  142,  0] 
1577167930.5917828, [97,  135,  0] 
1577167930.6264749, [8,  168,  0] 
1577167930.654448, [106,  135,  0] 
1577167930.694675, [186,  396,  0] 
1577167930.7235472, [181,  327,  0] 
1577167930.761416, [132,  174,  0] 
1577167930.7904696, [104,  152,  36228] 
1577167930.8274698, [200,  403,  0] 
1577167930.856028, [41,  175,  0] 
1577167930.8944368, [233,  413,  0] 
1577167930.921378, [121,  217,  0] 
1577167930.9621177, [173,  3,  0] 
1577167930.990446, [155,  230,  0] 
1577167931.0298796, [97,  223,  0] 
1577167931.0579324, [67,  224,  0] 
1577167931.0908177, [34,  207,  0] 
1577167931.1207948, [63,  221,  0] 
1577167931.1616428, [19,  219,  0] 
1577167931.1902292, [371,  2,  0] 
1577167931.258151, [153,  3,  0] 
1577167931.2964103, [65,  2,  0] 
1577167931.95899, [355,  165,  0] 
1577167933.3073204, [271,  261,  1743] 
1577167933.3529403, [271,  261,  1743] 
1577167933.5775938, [269,  261,  1704] 
1577167933.6216905, [271,  260,  1742] 
1577167933.665033, [269,  260,  1701] 
1577167933.8036032, [273,  257,  1810] 
1577167933.8469129, [274,  258,  1804] 
1577167933.9397197, [271,  260,  1738] 
1577167933.9852254, [272,  259,  1736] 
1577167934.0301688, [273,  258,  1795] 
1577167934.1228533, [273,  259,  1758] 
1577167934.1707137, [271,  259,  1733] 
1577167934.214883, [271,  259,  1735] 
1577167934.318089, [273,  257,  1788] 
1577167934.3634946, [272,  258,  1742] 
1577167934.4071398, [271,  261,  1734] 
1577167934.5226855, [273,  260,  1727] 
1577167934.561098, [272,  258,  1795] 
1577167934.5968874, [272,  260,  1831] 
1577167934.713173, [273,  261,  1742] 
1577167934.7578213, [274,  262,  1744] 
1577167934.8473277, [273,  262,  1738] 
1577167934.8871129, [269,  263,  1678] 
1577167934.9819303, [269,  265,  1659] 
1577167935.020942, [269,  264,  1662] 
1577167935.1107352, [267,  264,  1650] 
1577167935.1505175, [265,  263,  1658] 
1577167935.246245, [265,  262,  1646] 
1577167935.2876656, [263,  260,  1674] 
1577167935.3340638, [262,  259,  1661] 
1577167935.4514368, [260,  259,  1610] 
1577167935.4918995, [257,  261,  1613] 
1577167935.5768385, [255,  265,  1658] 
1577167935.6178722, [253,  268,  1687] 
1577167935.7127836, [253,  270,  1728] 
1577167935.7544098, [252,  272,  1768] 
1577167935.8477175, [257,  271,  1661] 
1577167935.884093, [260,  268,  0] 
1577167935.9707034, [263,  267,  0] 
1577167936.0001364, [265,  265,  0] 
1577167936.0923681, [16,  294,  0] 
1577167936.1215708, [63,  304,  0] 
1577167936.1474473, [25,  265,  0] 
1577167936.1925704, [16,  157,  0] 
1577167936.219786, [31,  191,  0] 
1577167936.2574852, [45,  140,  0] 
1577167936.2842016, [75,  97,  0] 
1577167936.3294756, [47,  73,  0] 
1577167936.3560534, [113,  125,  0] 
1577167936.3959277, [48,  1,  0] 
1577167936.4215608, [258,  292,  0] 
1577167936.4625769, [153,  224,  0] 
1577167936.4888783, [254,  299,  0] 
1577167936.524404, [256,  299,  0] 
1577167936.55308, [26,  324,  0] 
1577167936.5970585, [105,  180,  0] 
1577167936.625502, [247,  310,  0] 
1577167936.6563401, [63,  0,  0] 
1577167936.6856582, [22,  273,  0] 
1577167936.7265937, [28,  333,  0] 
1577167936.8234437, [0,  315,  0] 
1577167936.8616872, [0,  315,  0] 
1577167936.88723, [32,  0,  0] 
1577167936.9533978, [28,  379,  0] 
1577167936.9942079, [51,  286,  0] 
1577167937.0175579, [107,  418,  0] 
1577167937.0607226, [139,  307,  0] 
1577167937.088603, [180,  474,  0] 
1577167937.1245933, [153,  475,  0] 
1577167937.1519217, [154,  424,  0] 
1577167937.1948664, [161,  431,  0] 
1577167937.2206476, [91,  376,  0] 
1577167937.2600193, [73,  386,  0] 
1577167937.2868016, [7,  337,  0] 
1577167937.329809, [11,  356,  0] 
1577167937.3626258, [15,  382,  0] 
1577167937.393692, [58,  317,  0] 
1577167937.5511928, [267,  281,  1691] 
1577167937.6649864, [268,  278,  1677] 
1577167937.7119021, [268,  277,  1670] 
1577167937.756651, [268,  275,  1629] 
1577167937.8019314, [269,  273,  1617] 
1577167937.8478744, [269,  276,  1639] 
1577167937.8949015, [269,  277,  1628] 
1577167937.9415019, [272,  276,  1631] 
1577167937.988388, [270,  275,  1656] 
1577167938.0355968, [270,  274,  1630] 
1577167938.0820942, [269,  275,  1633] 
1577167938.1273165, [270,  276,  1638] 
1577167938.1757858, [271,  276,  1640] 
1577167938.2241538, [271,  274,  1629] 
1577167938.2690856, [270,  274,  1607] 
1577167938.3174064, [269,  275,  1615] 
1577167938.364439, [270,  275,  1640] 
1577167938.4144695, [270,  275,  1620] 
1577167938.4611754, [270,  274,  1614] 
1577167938.507657, [270,  274,  1614] 
1577167938.554505, [270,  275,  1615] 
1577167938.6017418, [270,  276,  1622] 
1577167938.6498795, [270,  274,  1613] 
1577167938.6970994, [271,  274,  1618] 
1577167938.7450643, [270,  274,  1616] 
1577167938.7906966, [270,  275,  1619] 
1577167938.838144, [270,  275,  1617] 
1577167938.8851295, [269,  275,  1621] 
1577167938.9317262, [270,  274,  1618] 
1577167938.9782674, [271,  275,  1622] 
1577167939.0247927, [271,  275,  1620] 
1577167939.070047, [270,  275,  1618] 
1577167939.1163087, [271,  274,  1619] 
1577167939.1606355, [271,  274,  1645] 
1577167939.2083528, [270,  274,  1636] 
1577167939.254778, [270,  275,  1618] 
1577167939.3022847, [270,  275,  1616] 
1577167939.349694, [270,  274,  1641] 
1577167939.3940144, [270,  274,  1647] 
1577167939.4411638, [271,  274,  1641] 
1577167939.4879594, [271,  275,  1637] 
1577167939.5335984, [271,  275,  1632] 
1577167939.5794513, [270,  274,  1632] 
1577167939.6260526, [271,  275,  1639] 
1577167939.6733046, [271,  275,  1640] 
1577167939.720734, [271,  275,  1635] 
1577167939.7669833, [271,  275,  1656] 
1577167939.8130717, [271,  274,  1647] 
1577167939.8595965, [270,  274,  1642] 
1577167939.9064062, [271,  275,  1640] 
1577167939.9539163, [269,  275,  1637] 
1577167940.0001493, [271,  275,  1637] 
1577167940.0451465, [271,  275,  1636] 
1577167940.092412, [270,  274,  1608] 
1577167940.140857, [271,  275,  1633] 
1577167940.18779, [271,  275,  1637] 
1577167940.2340117, [272,  274,  1657] 
1577167940.2780948, [271,  275,  1651] 
1577167940.3261824, [271,  275,  1650] 
1577167940.373344, [270,  275,  1642] 
1577167940.4173422, [271,  275,  1643] 
1577167940.4635298, [270,  274,  1635] 
1577167940.5096245, [271,  274,  1638] 
1577167940.5592678, [271,  275,  1647] 
1577167940.604098, [271,  275,  1649] 
1577167940.649811, [271,  274,  1645] 
1577167940.6959212, [270,  274,  1646] 
1577167940.7431862, [270,  274,  1646] 
1577167940.7896943, [271,  275,  1648] 
1577167940.8349338, [271,  274,  1642] 
1577167940.8814218, [272,  274,  1643] 
1577167940.9312253, [270,  274,  1645] 
1577167940.9785268, [271,  275,  1650] 
1577167941.0260296, [272,  274,  1647] 
1577167941.0708168, [271,  275,  1642] 
1577167941.1171713, [272,  275,  1645] 
1577167941.1635053, [271,  275,  1649] 
1577167941.2099085, [272,  274,  1624] 
1577167941.2545977, [276,  274,  1634] 
1577167941.3025935, [277,  274,  1638] 
1577167941.3484628, [281,  274,  1702] 
1577167941.3984969, [284,  274,  1754] 
1577167941.443393, [287,  273,  1771] 
1577167941.4898634, [298,  272,  1869] 
1577167941.5351431, [309,  272,  1947] 
1577167941.5841663, [321,  273,  1952] 
1577167941.6281712, [341,  272,  2020] 
1577167941.6746073, [347,  272,  1973] 
1577167941.722839, [347,  272,  1980] 
1577167941.7700436, [346,  271,  1971] 
1577167941.8170934, [345,  272,  1974] 
1577167941.8638475, [342,  272,  2003] 
1577167941.9111953, [340,  271,  2001] 
1577167941.9578931, [340,  271,  2001] 
1577167942.0069637, [340,  272,  2029] 
1577167942.0529823, [340,  272,  2030] 
1577167942.1010506, [335,  272,  1994] 
1577167942.1491992, [329,  272,  1994] 
1577167942.1950424, [315,  272,  1945] 
1577167942.2407181, [308,  272,  1947] 
1577167942.2897809, [302,  273,  1934] 
1577167942.3361106, [302,  273,  1935] 
1577167942.382447, [303,  273,  1938] 
1577167942.4273705, [304,  273,  1937] 
1577167942.4737558, [304,  272,  1940] 
1577167942.5202765, [305,  273,  1943] 
1577167942.5692618, [305,  273,  1943] 
1577167942.6167655, [305,  273,  1941] 
1577167942.6651597, [305,  273,  1946] 
1577167942.7148974, [304,  272,  1950] 
1577167942.760126, [306,  272,  1951] 
1577167942.8060985, [306,  272,  1952] 
1577167942.8539531, [306,  272,  1952] 
1577167942.9007401, [305,  273,  1949] 
1577167942.947179, [305,  272,  1950] 
1577167942.9940455, [306,  273,  1951] 
1577167943.0400522, [306,  272,  1954] 
1577167943.0890992, [306,  273,  1953] 
1577167943.1364937, [306,  272,  1953] 
1577167943.1839404, [306,  272,  1953] 
1577167943.2296174, [306,  272,  1949] 
1577167943.2755327, [307,  272,  1948] 
1577167943.3234508, [307,  272,  1950] 
1577167943.3697526, [308,  272,  1947] 
1577167943.4150126, [309,  273,  1948] 
1577167943.462524, [311,  272,  1945] 
1577167943.5080783, [310,  272,  1947] 
1577167943.5562766, [310,  272,  1947] 
1577167943.6012022, [318,  272,  1957] 
1577167943.6470928, [321,  271,  1951] 
1577167943.6933653, [327,  271,  1957] 
1577167943.7405305, [330,  271,  1992] 
1577167943.78637, [329,  272,  1980] 
1577167943.8326, [328,  271,  1963] 
1577167943.879033, [328,  272,  1964] 
1577167943.9243712, [328,  272,  1968] 
1577167943.9713302, [328,  272,  1969] 
1577167944.0194585, [328,  271,  1974] 
1577167944.0671263, [327,  272,  1962] 
1577167944.1143944, [326,  271,  1964] 
1577167944.1608016, [327,  272,  1961] 
1577167944.2077103, [327,  272,  1957] 
1577167944.2558155, [326,  271,  1963] 
1577167944.306506, [327,  272,  1961] 
1577167944.3510635, [326,  272,  1960] 
1577167944.3974, [327,  272,  1961] 
1577167944.4432013, [327,  272,  1960] 
1577167944.4892516, [327,  272,  1960] 
1577167944.533981, [327,  272,  1956] 
1577167944.5798385, [327,  272,  1958] 
1577167944.6252608, [327,  272,  1956] 
1577167944.6750705, [326,  272,  1957] 
1577167944.720115, [327,  272,  1955] 
1577167944.7658823, [327,  272,  1955] 
1577167944.8115032, [327,  272,  1956] 
1577167944.857117, [326,  272,  1955] 
1577167944.9035504, [327,  272,  1955] 
1577167944.9498036, [326,  272,  1953] 
1577167944.995101, [326,  272,  1950] 
1577167945.041, [327,  272,  1950] 
1577167945.0881147, [326,  272,  1952] 
1577167945.133827, [327,  272,  1952] 
1577167945.1821306, [326,  272,  1953] 
1577167945.2273483, [326,  272,  1951] 
1577167945.274881, [326,  272,  1951] 
1577167945.32127, [326,  272,  1949] 
1577167945.368961, [327,  272,  1952] 
1577167945.4170258, [326,  272,  1950] 
1577167945.4645438, [327,  272,  1953] 
1577167945.510286, [326,  272,  1955] 
1577167945.5578804, [326,  272,  1953] 
1577167945.604794, [326,  272,  1955] 
1577167945.6548517, [326,  272,  1956] 
1577167945.7067251, [326,  272,  1954] 
1577167945.7545438, [327,  272,  1951] 
1577167945.8029106, [326,  272,  1953] 
1577167945.8523638, [327,  272,  1956] 
1577167945.896701, [326,  272,  1957] 
1577167945.9437532, [327,  272,  1957] 
1577167945.9919171, [327,  272,  1956] 
1577167946.0385854, [326,  272,  1954] 
1577167946.086422, [326,  272,  1953] 
1577167946.1340067, [326,  272,  1953] 
1577167946.1802175, [327,  273,  1954] 
1577167946.228097, [326,  272,  1957] 
1577167946.2745283, [326,  272,  1955] 
1577167946.3213344, [327,  272,  1954] 
1577167946.3686736, [327,  272,  1954] 
1577167946.4173288, [326,  272,  1956] 
1577167946.4616656, [326,  272,  1955] 
1577167946.5083764, [326,  273,  1947] 
1577167946.5542948, [327,  272,  1946] 
1577167946.604068, [327,  272,  1952] 
1577167946.64929, [327,  272,  1950] 
1577167946.696488, [327,  272,  1954] 
1577167946.7443886, [326,  272,  1955] 
1577167946.7922578, [326,  272,  1956] 
1577167946.837894, [327,  272,  1953] 
1577167946.8839242, [327,  272,  1955] 
1577167946.9302368, [327,  272,  1955] 
1577167946.97745, [327,  272,  1952] 
1577167947.023928, [327,  272,  1950] 
1577167947.0705376, [326,  272,  1952] 
1577167947.115676, [326,  272,  1954] 
1577167947.1619182, [326,  272,  1956] 
1577167947.2075431, [327,  272,  1960] 
1577167947.2532387, [327,  272,  1960] 
1577167947.2997139, [326,  272,  1958] 
1577167947.3463056, [327,  272,  1958] 
1577167947.3932538, [327,  272,  1957] 
1577167947.4379165, [326,  272,  1953] 
1577167947.483286, [326,  272,  1953] 
1577167947.5290873, [327,  272,  1951] 
1577167947.5784574, [327,  272,  1955] 
1577167947.623466, [326,  272,  1958] 
1577167947.6696596, [327,  272,  1958] 
1577167947.715705, [327,  273,  1953] 
1577167947.7601109, [327,  272,  1954] 
1577167947.8071215, [327,  272,  1955] 
1577167947.8554237, [327,  272,  1952] 
1577167947.8997028, [327,  272,  1950] 
1577167947.9473224, [326,  272,  1953] 
1577167947.995854, [327,  272,  1956] 
1577167948.0422702, [327,  272,  1949] 
1577167948.0872233, [327,  272,  1951] 
1577167948.1335976, [327,  273,  1947] 
1577167948.1822255, [326,  272,  1952] 
1577167948.22929, [327,  272,  1953] 
1577167948.276683, [327,  273,  1953] 
1577167948.3227906, [328,  272,  1957] 
1577167948.3683894, [327,  273,  1949] 
1577167948.4158776, [327,  272,  1955] 
1577167948.4614704, [327,  272,  1954] 
1577167948.507717, [327,  272,  1958] 
1577167948.5539079, [327,  272,  1958] 
1577167948.5991898, [327,  272,  1956] 
1577167948.6450663, [328,  272,  1957] 
1577167948.6948733, [327,  272,  1957] 
1577167948.7400825, [328,  272,  1960] 
1577167948.786528, [327,  272,  1954] 
1577167948.8322377, [328,  272,  1951] 
1577167948.8776715, [327,  272,  1952] 
1577167948.9255252, [327,  272,  1950] 
1577167948.9740713, [328,  272,  1956] 
1577167949.0222716, [327,  272,  1957] 
1577167949.067578, [327,  272,  1957] 
1577167949.1157653, [327,  272,  1959] 
1577167949.1634254, [327,  272,  1961] 
1577167949.2108283, [327,  272,  1961] 
1577167949.2587397, [327,  272,  1960] 
1577167949.3034885, [327,  272,  1958] 
1577167949.3523247, [327,  272,  1954] 
1577167949.3989909, [327,  272,  1954] 
1577167949.4457066, [327,  272,  1954] 
1577167949.492123, [327,  272,  1956] 
1577167949.5420983, [326,  272,  1956] 
1577167949.5885358, [328,  272,  1957] 
1577167949.6367326, [326,  272,  1951] 
1577167949.6828995, [326,  272,  1954] 
1577167949.7290688, [327,  272,  1954] 
1577167949.7757614, [327,  272,  1957] 
1577167949.8219147, [327,  272,  1955] 
1577167949.8677146, [327,  272,  1955] 
1577167949.9121306, [327,  272,  1958] 
1577167949.9573388, [327,  272,  1958] 
1577167950.0036857, [327,  272,  1959] 
1577167950.0490477, [326,  272,  1957] 
1577167950.0973313, [326,  272,  1957] 
1577167950.144706, [327,  273,  1961] 
1577167950.1896722, [327,  273,  1958] 
1577167950.2357452, [327,  272,  1967] 
1577167950.281563, [327,  272,  1963] 
1577167950.330076, [326,  272,  1959] 
1577167950.376701, [327,  272,  1964] 
1577167950.4201133, [327,  272,  1965] 
1577167950.468357, [327,  272,  1964] 
1577167950.5143597, [327,  272,  1967] 
1577167950.5641496, [327,  273,  1961] 
1577167950.6113691, [327,  272,  1960] 
1577167950.6582644, [327,  272,  1960] 
1577167950.7046158, [327,  272,  1959] 
1577167950.7515755, [329,  272,  1957] 
1577167950.798125, [326,  272,  1956] 
1577167950.8446238, [326,  272,  1958] 
1577167950.8920743, [327,  272,  1959] 
1577167950.9358182, [327,  272,  1959] 
1577167950.9807851, [328,  272,  1962] 
1577167951.0278602, [327,  272,  1962] 
1577167951.0756783, [327,  272,  1957] 
1577167951.1216166, [327,  272,  1959] 
1577167951.1692762, [326,  272,  1958] 
1577167951.2151885, [327,  272,  1960] 
1577167951.262172, [328,  272,  1955] 
1577167951.3079937, [327,  272,  1960] 
1577167951.3530042, [327,  272,  1960] 
1577167951.3998907, [327,  272,  1956] 
1577167951.4442184, [327,  272,  1960] 
1577167951.490943, [328,  272,  1960] 
1577167951.5373585, [327,  273,  1953] 
1577167951.5853775, [327,  272,  1963] 
1577167951.6316905, [328,  272,  1962] 
1577167951.6796267, [328,  272,  1961] 
1577167951.7244103, [328,  272,  1961] 
1577167951.7725165, [328,  272,  1965] 
1577167951.8197894, [327,  272,  1962] 
1577167951.8675506, [327,  272,  1960] 
1577167951.914814, [327,  272,  1962] 
1577167951.9615686, [328,  272,  1964] 
1577167952.0091932, [328,  272,  1964] 
1577167952.0544531, [327,  271,  1971] 
1577167952.1017492, [56,  277,  2377] 
1577167952.148069, [87,  267,  2426] 
1577167952.193158, [327,  272,  1960] 
1577167952.239374, [327,  272,  1960] 
1577167952.2848468, [326,  272,  1963] 
1577167952.330566, [327,  272,  1963] 
