time,point
1576932727.3952725, [378,  335,  2102] 
1576932727.4260445, [335,  349,  2655] 
1576932727.4812536, [334,  349,  2655] 
1576932727.4979892, [334,  348,  2678] 
1576932727.5313838, [334,  349,  2713] 
1576932727.5454543, [334,  349,  2713] 
1576932727.6250296, [333,  350,  2632] 
1576932727.6831887, [332,  349,  2737] 
1576932727.730026, [330,  349,  2701] 
1576932727.7764668, [328,  350,  2655] 
1576932727.79321, [327,  349,  2774] 
1576932727.836721, [327,  349,  2737] 
1576932727.8554015, [326,  349,  2701] 
1576932727.8775063, [324,  350,  2774] 
1576932727.9335606, [321,  351,  2838] 
1576932727.9528964, [315,  351,  2865] 
1576932727.998678, [304,  353,  2878] 
1576932728.0170097, [289,  356,  2990] 
1576932728.0461533, [327,  359,  2749] 
1576932728.0647838, [273,  359,  2851] 
1576932728.0848079, [262,  361,  2812] 
1576932728.1333792, [265,  361,  2825] 
1576932728.2163873, [342,  345,  2555] 
1576932728.2658389, [346,  347,  2504] 
1576932728.2810504, [351,  349,  2473] 
1576932728.3478508, [357,  339,  2256] 
1576932728.397803, [357,  338,  2289] 
1576932728.4162645, [358,  337,  2289] 
1576932728.4691188, [363,  335,  2215] 
1576932728.4879951, [369,  332,  2231] 
1576932728.5303562, [424,  341,  1828] 
1576932728.5484538, [401,  330,  1961] 
1576932728.6032515, [408,  328,  1901] 
1576932728.6225185, [413,  327,  1913] 
1576932728.6682923, [410,  326,  1883] 
1576932728.683864, [403,  326,  1980] 
1576932728.7336993, [400,  325,  1919] 
1576932728.7491395, [399,  325,  1949] 
1576932728.8004887, [398,  324,  1937] 
1576932728.8150709, [398,  325,  1943] 
1576932728.8677788, [397,  326,  1931] 
1576932728.8848698, [397,  326,  1955] 
1576932728.9377408, [395,  325,  1949] 
1576932728.9555922, [389,  328,  1987] 
1576932729.0042737, [385,  329,  2060] 
1576932729.022541, [377,  328,  2026] 
1576932729.0686612, [365,  327,  2184] 
1576932729.1584213, [306,  332,  2878] 
1576932729.245684, [326,  329,  2454] 
1576932729.2618382, [336,  326,  2351] 
1576932729.2990618, [347,  326,  2248] 
1576932729.3346977, [353,  328,  2273] 
1576932729.3510797, [359,  329,  2264] 
1576932729.5438898, [467,  326,  1638] 
1576932729.560807, [456,  325,  1656] 
1576932729.5998387, [447,  322,  1706] 
1576932729.6496956, [437,  324,  1720] 
1576932729.6646996, [427,  325,  1844] 
1576932729.699655, [430,  325,  1806] 
1576932729.736484, [431,  324,  1801] 
1576932729.7550106, [428,  323,  1817] 
1576932729.807967, [429,  325,  1838] 
1576932729.824686, [425,  324,  1838] 
1576932729.874161, [423,  323,  1855] 
1576932729.8918338, [420,  323,  1872] 
1576932729.9577708, [424,  326,  1849] 
1576932730.0050123, [424,  326,  1844] 
1576932730.0223773, [423,  327,  1861] 
1576932730.075211, [423,  328,  1883] 
1576932730.0918071, [422,  329,  1855] 
1576932730.125741, [423,  329,  1895] 
1576932730.1402056, [422,  330,  1889] 
1576932730.190351, [420,  332,  1913] 
1576932730.2326903, [420,  332,  1925] 
1576932730.278759, [419,  332,  1907] 
1576932730.296591, [418,  334,  1878] 
1576932730.3396382, [415,  335,  1943] 
1576932730.4304993, [414,  335,  1943] 
1576932730.4901452, [414,  337,  1901] 
1576932730.5081081, [412,  337,  1937] 
1576932730.593688, [412,  337,  1919] 
1576932730.610564, [412,  337,  1943] 
1576932730.6269767, [410,  337,  1943] 
1576932730.6678307, [410,  338,  1913] 
1576932730.7333887, [411,  337,  1937] 
1576932730.7483747, [409,  336,  1937] 
1576932730.7946532, [410,  336,  1931] 
1576932730.8129478, [410,  336,  1931] 
1576932730.8519313, [409,  336,  1925] 
1576932730.8710923, [409,  336,  1931] 
1576932730.9301448, [409,  335,  1919] 
1576932730.9728868, [409,  336,  1925] 
1576932730.990827, [409,  336,  1925] 
1576932731.0132885, [410,  335,  1907] 
1576932731.0645905, [409,  336,  1943] 
1576932731.0818436, [409,  336,  1919] 
1576932731.1258366, [409,  335,  1913] 
1576932731.142866, [409,  335,  1913] 
1576932731.165124, [410,  335,  1919] 
1576932731.2154582, [409,  334,  1913] 
1576932731.2307243, [410,  334,  1907] 
1576932731.272306, [411,  335,  1943] 
1576932731.2908552, [411,  335,  1895] 
1576932731.34408, [411,  334,  1925] 
1576932731.3618803, [410,  335,  1907] 
1576932731.4106681, [408,  333,  1937] 
1576932731.4276063, [408,  334,  1913] 
1576932731.476188, [408,  334,  1889] 
1576932731.4937477, [407,  335,  1931] 
1576932731.5446162, [405,  335,  1937] 
1576932731.562491, [402,  337,  1949] 
1576932731.6098325, [401,  338,  1980] 
1576932731.6274252, [401,  339,  2019] 
1576932731.6785603, [399,  341,  2067] 
1576932731.6959221, [400,  342,  2033] 
1576932731.746428, [399,  343,  2053] 
1576932731.7648487, [400,  345,  2053] 
1576932731.8096302, [399,  346,  2088] 
1576932731.8281453, [398,  346,  2095] 
1576932731.8768566, [397,  346,  2153] 
1576932731.893124, [397,  346,  2153] 
1576932731.9469743, [397,  345,  2116] 
1576932731.9955444, [398,  345,  2102] 
1576932732.0122404, [397,  345,  2153] 
1576932732.0379665, [397,  345,  2161] 
1576932732.0823762, [397,  346,  2146] 
1576932732.100991, [396,  345,  2131] 
1576932732.1454103, [396,  345,  2109] 
1576932732.1644492, [396,  344,  2095] 
1576932732.2012181, [397,  343,  2109] 
1576932732.2188375, [396,  343,  2116] 
1576932732.2672262, [396,  342,  2102] 
1576932732.2844396, [395,  342,  2074] 
1576932732.3199992, [394,  342,  2153] 
