time,point
1577443997.7855585, [1553.0849427    -969.8876731      334.40263755] 
1577443997.9633322, [1527.86200653  -980.40723931    197.26955334] 
1577443998.0073617, [1564.21457766  -851.77823881    489.17070974] 
1577443998.186632, [  1565.42847124  -1019.78962768      325.92778852] 
1577443998.329368, [1502.20127111  -929.97680408    319.58654878] 
1577443998.3950357, [1496.70531466  -880.36113854    478.16704241] 
1577443998.42739, [1464.71326698  -870.48532514    349.74867899] 
1577443998.467182, [1258.52516139  -588.24202988  -183.28814648] 
1577443998.5058935, [1251.65227545  -588.46065664  -169.17230374] 
1577443998.5455096, [1616.88631469  -631.64597407    -46.15052844] 
1577443998.5786886, [1619.11937236  -634.76736063    -45.57570742] 
1577443998.60876, [1618.47034388  -631.62358985    -48.90484276] 
1577443998.9572916, [1474.40880789  -764.35096398      99.30418685] 
1577443999.347289, [1358.72751495  -788.30546386    387.82413696] 
1577443999.665, [1407.6788704    -974.45695409    321.67241551] 
